price day ahead;price actual
50.1;65.41
48.1;64.92
47.33;64.48
42.27;59.32
38.41;56.04
35.72;53.63
35.13;51.73
36.22;51.43
32.4;48.98
36.6;54.2
43.1;58.94
45.14;59.86
45.14;60.12
47.35;62.05
47.35;62.06
43.61;59.76
44.91;61.18
48.1;64.74
58.02;74.26
61.01;74.24
62.69;75.64
60.41;73.92
58.15;70.53
53.6;64.13
10;64.02
7;58.46
5;54.7
4;54.91
4;53.07
4.8;54.23
5;58.22
7.04;67.55
7.04;70.33
7.88;71.26
10.71;75.86
10;73.65
7.04;74.19
7;71.51
6.33;71.04
5;71.24
6.21;70.64
9.98;72.85
33.15;82.55
50;83.33
52.01;83.23
50.01;79.06
45.8;76.2
41.74;71.75
35.62;66.82
27.1;63.35
25;58.79
20.01;57.44
17.1;55.29
17.22;56.22
20.14;58.13
19.87;62.06
20.22;67.36
25.22;69.21
25.13;70.35
27.1;68.77
28.71;68.82
25;68.23
23.68;67.97
14.87;62.76
11.7;62.03
19.52;66.69
25.13;71.5
39.71;72.14
44;72.45
41.21;72.86
35.69;70.1
30.23;67.62
24.65;55.22
20.2;50.54
19.16;48.68
21.9;48.02
14.9;47.06
24.65;46.79
28.01;47.63
27.51;47.44
33.96;50.84
38;54.84
37.17;59.95
35.01;59.35
38;57.03
38.12;59.22
30.4;58.56
27.58;52.07
27.56;52.15
27.5;61.12
26.53;71.98
30;74.64
39.7;75.38
40.48;76.49
37.97;73.83
28;69.51
43.49;70.77
35.5;64.89
35.2;60.91
35.2;59.68
30.6;58.04
30.6;59.57
30.6;69.73
30;72.97
30.6;77.92
35.3;79.59
35.2;81.75
35.4;80.82
35.5;79.14
36.8;73.95
32.5;71.93
30;71.5
30;71.85
30.6;80.53
42.01;89.08
51.4;90.97
55.35;88.51
62;82.85
60.01;80.52
57.6;72.18
53.01;71.48
45.65;64.76
44.04;60.22
43.58;57.14
43.98;53.94
44.91;53.43
51;56.68
55.76;63.49
59.95;66.75
60.5;73.07
61.29;78.95
61.69;75.91
61.95;73.12
61.29;68.02
60.09;66.67
60.5;65.08
60.69;66.1
60.69;72
58.9;78.6
57;81.18
57;81.65
59.88;78.63
59.6;73.2
55.76;72.46
59.52;67.24
51.1;64.17
47.03;62.12
48.5;62.11
48.79;60.05
50.51;62.48
59.13;70.01
60.8;75.2
61.87;83.3
64.23;93.14
66.5;100.45
67.1;95.17
66.1;85.23
65;81.5
59.75;77.29
59.61;76.61
59.53;77.15
61.1;79.51
61.1;91.05
61.1;95.29
61.87;91.25
63.71;87.08
64.1;78.15
59.13;75.07
49;73.73
46.86;70.99
45.68;68.3
44.99;64.22
44.81;63.53
44.68;66.7
44.81;69.79
44.81;75.57
46.85;82.36
49;87.03
54.36;91.08
61.98;89.29
62.47;85.45
62.93;80.33
61.98;77.33
57.48;77.03
54.38;78.15
54.36;80.48
52.04;90.87
54.38;94.11
60.33;90.26
66;84.66
63.6;77.05
55.5;73.14
60.47;67.7
52.88;61.05
48.62;59.61
47.69;58.65
45.85;58.4
45.78;59.77
49.3;68.38
55.93;75.5
60.47;81.67
57.5;85.8
59.57;92
60.47;89.66
63.52;85.5
63.69;81.22
60.47;77.08
60.1;77.33
62.53;80.09
63.01;81.64
62.29;88.51
61.51;89
65.5;87.11
67.67;82.13
61.51;78.39
54.9;72.17
56.65;61.8
53.5;59.46
49.69;55.97
49.1;55.03
51.25;54.53
53.6;55.44
58.02;57.22
63.03;63.84
63.56;71.4
64.66;74.51
63.9;77.05
61.9;75.49
60.9;74.23
59.8;74
56.8;72.86
53.6;69.68
53.5;68.36
54.9;71.77
55.26;77.55
61;78.67
61.69;78.46
61;78.1
56.8;70.98
53;62.14
53.21;60.35
36.1;54.98
34;53.36
31;52.62
25.17;49.17
25.46;47.97
26.56;49.1
26.25;49.91
26.26;51.53
27.3;55.87
27.42;55.81
27.87;54.7
28.24;52.89
27.49;54.58
27.27;54.82
24.14;52.08
24.65;52.05
31;55.59
41.7;77.6
50.34;80.36
46.48;82.29
40;82.47
36.9;78.06
32.79;70.13
66.17;60.81
61.57;58.27
56.7;53.65
54.5;51.95
53.96;51.4
56.7;52.93
62.69;58.8
69.37;70.52
68;75.72
70.5;81.92
70.5;85.63
68.5;86.76
67.2;82.78
66.46;76.7
64.76;74.35
64.76;73.6
65.23;74.74
66.5;76.34
72.5;84.23
72.58;87.72
72.07;86.54
68.8;81.3
65.23;69.06
63.29;62.43
46.17;55.61
42;52.54
40.8;50.97
39.69;49.57
39.2;48.74
40;49.56
44.93;53.96
58.34;65.89
62.2;73.97
66.2;78.25
68.52;83.44
66.49;81.74
63.31;78.22
61.84;74.18
57.46;69.45
57.59;69.58
60.69;72.97
62.56;75.59
67.11;86.26
70.2;88.57
69.1;87.32
63.89;80.78
61.84;77.41
54.96;67
48.04;60.23
43.22;54.69
43.05;53.88
43.21;53.19
43.05;52.57
46.83;57.13
60.69;70.06
68.03;76.53
71.46;83.97
78.9;92.24
81.12;97.95
77.15;94.52
71.15;86.31
68.25;79.91
63.89;76.06
63.01;75.64
64.89;77.09
67.11;79.62
69.96;88.06
70.52;88.75
68.75;86.91
62.99;79.91
55;70.11
45.67;59.27
39;49.14
35;45.38
34.73;43.68
33.04;42.49
32.25;40.7
33;41.48
38;46.24
