C,mse_train,mae_train,rmse_train,r2_train,mse_test,mae_test,rmse_test,r2_test
0.0001,56259828.58683447,6080.988715253834,7431.422241096769,-1.7137076062449978,56470168.56660743,6084.560223224753,7444.3215715783845,-1.7255036357842586
0.0005,35776473.005978964,4847.602778425335,5860.28221511148,-0.7257435111020345,36034407.08960152,4859.146703011443,5879.0257874772315,-0.7389243425473979
0.001,34482905.618850365,4766.887228615149,5748.166780319375,-0.6633500661202766,34749312.92066554,4780.178593504835,5767.809523535665,-0.6768895534883247
0.01,33654121.778279305,4716.249304974271,5676.965485329481,-0.6233740907511669,33928765.95585926,4731.353053890355,5697.435193100735,-0.6372826682332527
0.1,33589976.57621546,4712.435252113191,5671.563710228443,-0.6202800222356956,33865478.76066435,4727.730182043294,5692.116859298176,-0.6342281024605277
1.0,33583767.304307565,4712.068118158189,5671.042607473939,-0.6199805145388824,33859354.51730146,4727.382442985167,5691.603999037874,-0.6339325199150777
10.0,33583143.35894993,4712.030886434803,5670.99020168726,-0.6199504183772954,33858739.6711895,4727.347217282626,5691.552475332064,-0.6339028436222303
100.0,33583093.93100452,4712.028703637919,5670.986194888844,-0.6199480337583478,33858689.71919752,4727.345064475504,5691.54841752729,-0.6339004352461425
1000.0,33583084.64204599,4712.0280245668755,5670.985382989302,-0.6199475857831731,33858680.810061105,4727.344443087687,5691.547642473525,-0.6339000047998001
100000.0,33583090.0388594,4712.028592890836,5670.985894547127,-0.6199478459205872,33858685.61264434,4727.344937549243,5691.548097630943,-0.6339002375827135
